date,time,call,band,mode,their_grid,their_grid4,my_grid4,dist_km,dist_mi,loc_method,dupe
20250226,1953,DL6NAC,20m,FT8,JO50,JO50,FN21,6338.973,3938.854,grid4,
20250226,2019,VE2PTB,20m,FT8,FN46,FN46,FN21,641.255,398.457,grid4,
20250226,2021,F4GTB,20m,FT8,JN18,JN18,FN21,5912.145,3673.635,grid4,
20250226,2024,HG8LXL,20m,FT4,KN06,KN06,FN21,7198.536,4472.962,grid4,
20250226,2027,UX5UO,20m,FT4,KO50el,KO50,FN21,7524.276,4675.367,grid6+,
20250226,2028,IN3KTT,20m,FT4,JN56,JN56,FN21,6548.808,4069.239,grid4,
20250226,2037,KE8NQL,20m,FT4,EN91,EN91,FN21,499.580,310.425,grid4,
20250226,2038,ER3ZW,20m,FT4,KN47,KN47,FN21,7619.426,4734.490,grid4,
20250226,2038,KG5ZMQ,20m,FT4,EM32,EM32,FN21,1880.093,1168.235,grid4,
20250226,2040,HB9DVX,20m,FT4,JN36,JN36,FN21,6278.991,3901.583,grid4,
20250226,2042,KB0RN,20m,FT4,EM48,EM48,FN21,1400.859,870.453,grid4,
20250226,2043,G0LIA,20m,FT4,IO70,IO70,FN21,5293.499,3289.227,grid4,
20250226,2044,IU2CGB,20m,FT4,JN54,JN54,FN21,6659.183,4137.823,grid4,
20250226,2046,SQ8W,20m,FT4,KN09,KN09,FN21,7012.241,4357.203,grid4,
20250226,2048,CN8NS,20m,FT4,IM63,IM63,FN21,5910.325,3672.504,grid4,
20250226,2049,YO9HP,20m,FT4,KN35,KN35,FN21,7637.590,4745.777,grid4,
20250226,2051,IZ4EKI,20m,FT4,JN54,JN54,FN21,6659.183,4137.823,grid4,
20250226,2118,CT7AXN,20m,FT4,IM59kj,IM59,FN21,5444.520,3383.067,grid6+,
20250226,2119,DL5AX,20m,FT4,JO52,JO52,FN21,6239.945,3877.321,grid4,
20250226,2121,HB9DVO,20m,FT4,JN47,JN47,FN21,6362.498,3953.472,grid4,
20250226,2122,KC2ZVT,20m,FT4,FN30,FN30,FN21,201.323,125.096,grid4,
20250226,2122,EA5FAY,20m,FT4,IM98,IM98,FN21,6112.018,3797.831,grid4,
20250226,2126,S57TW,20m,FT4,JN75,JN75,FN21,6871.389,4269.682,grid4,
20250226,2129,F5SJC,20m,FT4,JN05,JN05,FN21,5910.896,3672.859,grid4,
20250226,2131,DF6RI,20m,FT4,JN59,JN59,FN21,6390.001,3970.561,grid4,
20250226,2133,HB9FUR,20m,FT4,JN47,JN47,FN21,6362.498,3953.472,grid4,
20250226,2135,M0PBG,20m,FT4,IO93,IO93,FN21,5453.716,3388.781,grid4,
20250226,2136,NI6BB,20m,FT4,DM03,DM03,FN21,3937.887,2446.889,grid4,
20250226,2159,GM1DMC,20m,FT4,IO75,IO75,FN21,5145.773,3197.434,grid4,
20250226,2202,OE9HGV,20m,FT4,JN47,JN47,FN21,6362.498,3953.472,grid4,
20250226,2202,OK1VM,20m,FT4,JO70,JO70,FN21,6588.293,4093.774,grid4,
20250226,2203,W5BCA,20m,FT4,EL29,EL29,FN21,2239.805,1391.750,grid4,
20250226,2204,G1ZOM,20m,FT4,IO83,IO83,FN21,5327.174,3310.151,grid4,
20250226,2207,PA1H,20m,FT4,JO32,JO32,FN21,5993.805,3724.377,grid4,
20250226,2207,YO6OEJ,20m,FT4,KN26,KN26,FN21,7447.342,4627.562,grid4,
20250226,2209,W5HVS,20m,FT4,EM10,EM10,FN21,2316.231,1439.239,grid4,
20250226,2218,M7WLT,20m,FT4,IO91fi,IO91,FN21,5523.931,3432.410,grid6+,
20250226,2221,M0KRB,20m,FT4,IO91,IO91,FN21,5523.931,3432.410,grid4,
20250226,2222,VA3ERW,30m,FT4,EN92,EN92,FN21,507.999,315.656,grid4,
20250226,2224,K3UA,30m,FT4,EN90,EN90,FN21,515.534,320.338,grid4,
20250226,2230,W3WIV,30m,FT4,FN00,FN00,FN21,353.576,219.702,grid4,
20250226,2232,K2TL,30m,FT4,FN20,FN20,FN21,111.195,69.093,grid4,
20250226,2247,EB3JT,20m,FT4,JN01,JN01,FN21,6106.451,3794.372,grid4,
20250228,2020,NN8B,20m,FT4,EN90,EN90,FN21,515.534,320.338,grid4,
20250228,2021,KC9AA,20m,FT4,EN54,EN54,FN21,1184.665,736.116,grid4,
20250228,2023,KF9UG,20m,FT4,EN71,EN71,FN21,832.336,517.189,grid4,
20250228,2023,VE2OCH,20m,FT4,FN35,FN35,FN21,473.087,293.963,grid4,
20250228,2027,EA5FAY,20m,FT4,IM98,IM98,FN21,6112.018,3797.831,grid4,
20250228,2030,K1LJL,20m,FT4,FN34jm,FN34,FN21,371.092,230.586,grid6+,
20250228,2030,KV0F,20m,FT4,EM38,EM38,FN21,1566.021,973.080,grid4,
20250228,2034,VE9ZY,20m,FT4,FN77,FN77,FN21,1034.937,643.080,grid4,
20250228,2037,KB3VAV,20m,FT4,FN21,FN21,FN21,0.000,0.000,grid4,
20250228,2037,W5GFM,20m,FT4,EN45,EN45,FN21,1362.220,846.444,grid4,
20250228,2039,PD3ED,20m,FT4,JO21,JO21,FN21,5911.517,3673.245,grid4,
20250228,2040,PE2USA,20m,FT4,JO22,JO22,FN21,5868.972,3646.809,grid4,
20250228,2043,OM5TX,20m,FT4,JN97,JN97,FN21,7010.654,4356.217,grid4,
20250228,2045,IK4LZH,20m,FT4,JN54,JN54,FN21,6659.183,4137.823,grid4,
20250301,1739,K9ZIE,17m,FT4,EN53,EN53,FN21,1167.603,725.515,grid4,
20250301,1742,IU3MAG,12m,FT4,JN65,JN65,FN21,6738.187,4186.914,grid4,
20250301,1747,W8TAM,20m,FT4,EN75,EN75,FN21,920.129,571.742,grid4,
20250301,1801,K7VF,10m,FT4,EM11,EM11,FN21,2249.547,1397.803,grid4,
20250301,1908,N4NJJ,10m,FT4,DM26,DM26,FN21,3469.568,2155.889,grid4,
20250301,1910,KE7NLT,10m,FT4,DN55,DN55,FN21,2757.029,1713.138,grid4,
20250301,1932,KB1PD,20m,FT4,EM86,EM86,FN21,886.465,550.823,grid4,
20250301,1933,EA5IXH,20m,FT4,IM98,IM98,FN21,6112.018,3797.831,grid4,
20250301,1938,NA1KW,20m,FT8,EM49hq,EM49,FN21,1368.956,850.630,grid6+,
20250301,1939,IZ8VYU,20m,FT8,JN71,JN71,FN21,7111.554,4418.913,grid4,
20250301,1941,NC0N,20m,FT8,EN32,EN32,FN21,1488.752,925.067,grid4,
20250301,1942,IN3BFW,20m,FT8,JN55kx,JN55,FN21,6603.563,4103.262,grid6+,
20250301,1947,OE3UKW,20m,FT8,JN88hj,JN88,FN21,6825.471,4241.149,grid6+,
20250301,1954,E73G,20m,FT8,JN94,JN94,FN21,7195.614,4471.146,grid4,
20250222,1923,ON1JP,20m,FT8,IM99,IM99,FN21,6059.579,3765.247,grid4,
20250301,2115,PC2J,20m,FT8,JO22le,JO22,FN21,5868.972,3646.809,grid6+,
20250301,2118,IN3EJX,20m,FT8,JN56,JN56,FN21,6548.808,4069.239,grid4,
20250301,2121,VA3TPS,20m,FT4,FN04,FN04,FN21,465.818,289.446,grid4,
20250301,2128,EA7HY,40m,FT4,IM76,IM76,FN21,5907.353,3670.658,grid4,
20250303,0320,KE2FDZ,40m,SSB,FN21pc,FN21,FN21,0.000,0.000,grid6+,
20250307,0103,YT3PL,20m,FT4,KN04,KN04,FN21,7325.877,4552.088,grid4,
20250307,0103,WD0ANB,20m,FT4,EN32,EN32,FN21,1488.752,925.067,grid4,
20250307,0106,KA6JAR,20m,FT4,DM13,DM13,FN21,3771.352,2343.409,grid4,
20250307,0107,EF5PS,40m,FT4,IN90,IN90,FN21,6008.223,3733.336,grid4,
20250307,0109,W1UE,40m,FT4,FN41,FN41,FN21,333.091,206.973,grid4,
20250307,0109,N8QE,40m,FT4,EN91,EN91,FN21,499.580,310.425,grid4,
20250307,0111,KO3F,40m,FT4,FM19,FM19,FN21,279.363,173.588,grid4,
20250307,0114,US2YW,40m,FT8,KN28,KN28,FN21,7315.417,4545.588,grid4,
20250307,0115,SP3CUG,40m,FT8,JO82,JO82,FN21,6599.511,4100.745,grid4,
20250307,0116,AA5SH,20m,FT4,EM40,EM40,FN21,1883.246,1170.195,grid4,
20250307,0117,YO3GNF,20m,FT4,KN34,KN34,FN21,7706.512,4788.603,grid4,
20250307,0133,PY7ZC,20m,FT4,HI21,HI21,FN21,6893.953,4283.702,grid4,
20250307,0134,WA7WQF,20m,FT4,CN86,CN86,FN21,3819.436,2373.287,grid4,
20250307,0135,KC4HN,20m,FT4,FN20,FN20,FN21,111.195,69.093,grid4,
20250307,0136,KB8U,20m,FT4,EN71,EN71,FN21,832.336,517.189,grid4,
20250311,2100,KE2FDZ,40m,SSB,FN21pc,FN21,FN21,0.000,0.000,grid6+,
20250317,0129,CO6XE,20m,FT4,FL01,FL01,FN21,2255.306,1401.382,grid4,
20250317,0130,AI4FR,20m,FT4,EL88,EL88,FN21,1616.979,1004.744,grid4,
20250317,0131,KI0E,20m,FT4,DN13,DN13,FN21,3413.734,2121.195,grid4,
20250317,0132,W5GFM,20m,FT4,EN45,EN45,FN21,1362.220,846.444,grid4,
20250317,0133,HA7TM,20m,FT4,JN97,JN97,FN21,7010.654,4356.217,grid4,
20250317,0134,AA6I,20m,FT4,DM06,DM06,FN21,3801.259,2361.992,grid4,
20250317,0134,W6GRE,20m,FT4,EN31,EN31,FN21,1496.321,929.771,grid4,
20250317,0137,N9AAA,40m,FT4,EN52,EN52,FN21,1160.870,721.331,grid4,
20250317,0138,LZ2VQ,40m,FT4,KN23if,KN23,FN21,7649.155,4752.963,grid6+,
20250317,0141,KR1FLE,80m,FT4,EL89,EL89,FN21,1516.505,942.312,grid4,
20250317,0200,DL8TT,40m,FT4,JO30,JO30,FN21,6084.411,3780.676,grid4,
20250317,0201,CT2HEX,40m,FT4,IM58,IM58,FN21,5492.017,3412.580,grid4,
20250317,0202,HG8LXL,40m,FT4,KN06,KN06,FN21,7198.536,4472.962,grid4,
20250317,0204,PD0WAG,40m,FT4,JO21,JO21,FN21,5911.517,3673.245,grid4,
20250317,0212,KF9UG,40m,FT8,EN71,EN71,FN21,832.336,517.189,grid4,
20250317,0213,DK7ZT,40m,FT8,JO40ht,JO40,FN21,6212.320,3860.156,grid6+,
20250317,0214,EB3JT,40m,FT8,JN01,JN01,FN21,6106.451,3794.372,grid4,
20250317,1700,6Y7EI,20m,FT4,FK18,FK18,FN21,2564.529,1593.524,grid4,
20250317,1702,KA7QJN,20m,FT4,DM37,DM37,FN21,3264.078,2028.203,grid4,
20250317,1708,KK7MNC,15m,FT4,CN87,CN87,FN21,3802.576,2362.810,grid4,
20250317,1724,DO9BAU,15m,FT8,JO62,JO62,FN21,6361.142,3952.629,grid4,
20250317,1731,K0GMK,20m,FT8,EN34,EN34,FN21,1498.008,930.819,grid4,
20250317,1732,KE8IGL,20m,FT8,EN82,EN82,FN21,670.092,416.376,grid4,
20250317,1735,K3NF,20m,FT4,FM18jr,FM18,FN21,374.539,232.728,grid6+,
20250317,1738,G3PGA,20m,FT4,IO71,IO71,FN21,5260.610,3268.791,grid4,
20250317,1842,KE8JNN,20m,FT4,EN90,EN90,FN21,515.534,320.338,grid4,
20250317,1844,AM25DOWN,17m,FT4,,,FN21,5833.546,3624.796,dxcc,
20250317,1850,DK8VW,20m,FT4,JO51,JO51,FN21,6288.945,3907.768,grid4,
20250317,1855,GD0TEP,20m,FT4,IO74,IO74,FN21,5171.913,3213.677,grid4,
20250317,1902,AC1SM,20m,FT8,FN54,FN54,FN21,590.816,367.116,grid4,
20250317,1905,M0PAM,20m,FT8,JO01ni,JO01,FN21,5654.166,3513.335,grid6+,
20250317,1908,VE3EB,20m,FT8,FN04,FN04,FN21,465.818,289.446,grid4,
20250317,1920,ON2BCB,20m,FT8,JO21cd,JO21,FN21,5911.517,3673.245,grid6+,
20250317,1922,NF9U,20m,FT8,EM68,EM68,FN21,1074.138,667.438,grid4,
20250317,1932,DF4WC,20m,FT4,JN49,JN49,FN21,6261.352,3890.623,grid4,
20250317,1936,IK4LZH,20m,FT4,JN54,JN54,FN21,6659.183,4137.823,grid4,
20250317,1937,ON4CBK,20m,FT4,JO11,JO11,FN21,5783.379,3593.624,grid4,
20250317,1940,NS9I,20m,FT4,EM85,EM85,FN21,963.425,598.644,grid4,
20250317,1940,N8EGZ,20m,FT4,EN91,EN91,FN21,499.580,310.425,grid4,
20250317,1942,E75CC,20m,FT4,JN83sx,JN83,FN21,7125.075,4427.315,grid6+,
20250317,1943,YT1DL,20m,FT4,KN04,KN04,FN21,7325.877,4552.088,grid4,
20250317,1951,IS0KNG,15m,FT4,JM49oi,JM49,FN21,6804.164,4227.910,grid6+,
20250317,1953,K0MBC,15m,FT4,EM20,EM20,FN21,2167.003,1346.513,grid4,
20250317,1955,F5RRS,15m,FT4,JN36,JN36,FN21,6278.991,3901.583,grid4,
20250317,1956,W6GRE,15m,FT4,EN31,EN31,FN21,1496.321,929.771,grid4,
20250317,2003,F1PGQ,15m,FT4,JN35,JN35,FN21,6330.253,3933.436,grid4,
20250317,2008,N4LDF,12m,FT4,EL95,EL95,FN21,1862.799,1157.489,grid4,
20250317,2013,GU7DAI,20m,FT4,IN89,IN89,FN21,5464.493,3395.478,grid4,
20250317,2016,GW0ARK,20m,FT4,IO81jq,IO81,FN21,5392.727,3350.884,grid6+,
20250317,2016,M0KZT,20m,FT4,IO92,IO92,FN21,5488.073,3410.130,grid4,
20250317,2017,UR5QW,20m,FT4,KN77NU71,KN77,FN21,7962.712,4947.798,grid6+,
20250317,2018,DL1NCH,20m,FT4,JN59sw,JN59,FN21,6390.001,3970.561,grid6+,
20250317,2020,PC4H,20m,FT4,JO22,JO22,FN21,5868.972,3646.809,grid4,
20250317,2053,KD9RPE,20m,SSB,EN52is,EN52,FN21,1160.870,721.331,grid6+,
20250318,2108,KC3KJQ,20m,SSB,FM09HJ37,FM09,FN21,404.708,251.474,grid6+,
20250319,1514,K1BMW,20m,FT8,DM09,DM09,FN21,3686.672,2290.791,grid4,
20250319,1805,F5RMK,17m,FT4,IN98,IN98,FN21,5640.187,3504.649,grid4,
20250319,1806,IZ7DOO,17m,FT4,JN81,JN81,FN21,7249.650,4504.722,grid4,
20250319,1811,W8FDV,20m,FT4,DM43,DM43,FN21,3272.023,2033.140,grid4,
20250319,1816,AC9HP,20m,FT8,EM69,EM69,FN21,1037.799,644.858,grid4,
20250319,1821,S58WW,20m,FT8,JN76,JN76,FN21,6813.168,4233.505,grid4,
20250319,1847,VA6RR,20m,FT8,DO15,DO15,FN21,3395.144,2109.644,grid4,
20250319,1900,ND4X,20m,FT8,EM57,EM57,FN21,1279.078,794.782,grid4,
20250319,1901,KI4NPG,20m,FT8,EM75,EM75,FN21,1095.283,680.577,grid4,
20250319,1907,VE2EEJ/W4,20m,FT8,,,FN21,439.969,273.384,dxcc,
20250319,1909,IK4RVY,20m,FT8,JN64,JN64,FN21,6795.486,4222.518,grid4,
20250319,1911,CO3LY,20m,FT8,EL82,EL82,FN21,2240.751,1392.338,grid4,
20250319,1915,MI0JZZ,20m,FT8,IO65,IO65,FN21,5022.765,3121.001,grid4,
20250319,2030,R9KC/6,20m,FT8,KN84sv,KN84,FN21,8303.280,5159.418,grid6+,
20250319,2045,EA8IK,20m,FT4,IL18,IL18,FN21,5372.977,3338.612,grid4,
20250319,2106,EA5KB,20m,FT4,IM99,IM99,FN21,6059.579,3765.247,grid4,
20250319,2107,CO2AJ,20m,FT4,EL83,EL83,FN21,2135.022,1326.641,grid4,
20250319,2108,9A2CD,20m,FT4,JN75,JN75,FN21,6871.389,4269.682,grid4,
20250319,2109,F4JGI,20m,FT4,IN94,IN94,FN21,5814.262,3612.814,grid4,
20250319,2110,EA3IXE,20m,FT4,JN11,JN11,FN21,6253.795,3885.927,grid4,
20250319,2111,KK3KK,20m,FT4,DM14,DM14,FN21,3723.638,2313.761,grid4,
20250319,2128,KE8ARB,40m,FT8,EN91,EN91,FN21,499.580,310.425,grid4,
20250319,2130,VE3EJP,40m,FT8,FN14,FN14,FN21,371.092,230.586,grid4,
20250319,2133,LZ2ZD,20m,FT8,KN23,KN23,FN21,7649.155,4752.963,grid4,
20250319,2135,CT3IQ,20m,FT8,IM12,IM12,FN21,5149.441,3199.713,grid4,
20250319,2139,WB2TQE,20m,FT8,EL96,EL96,FN21,1756.036,1091.150,grid4,
20250319,2150,G3VMW,20m,FT8,IO93hv,IO93,FN21,5453.716,3388.781,grid6+,
20250319,2156,ES5QA,40m,FT8,KO38,KO38,FN21,6791.591,4220.098,grid4,
20250319,2201,HI3CH,20m,FT4,FK49,FK49,FN21,2475.373,1538.125,grid4,
20250319,2208,6Y7EI,12m,FT4,FK18,FK18,FN21,2564.529,1593.524,grid4,
20250319,2210,PJ7AA,10m,FT4,FK88,FK88,FN21,2799.761,1739.690,grid4,
20250320,2349,EA8CII,20m,FT4,IL18,IL18,FN21,5372.977,3338.612,grid4,
20250320,2351,VE2FVV,20m,FT4,FN59,FN59,FN21,1004.205,623.984,grid4,
20250320,2352,EA8DQE,20m,FT4,IL27gw,IL27,FN21,5598.386,3478.675,grid6+,
20250320,2356,LU1FQ,20m,FT4,FF97,FF97,FN21,8352.443,5189.966,grid4,
20250320,2358,EA5EYO,20m,FT4,IM98,IM98,FN21,6112.018,3797.831,grid4,
20250320,2359,MM0GPZ,20m,FT8,IO75,IO75,FN21,5145.773,3197.434,grid4,
20250321,0005,TA4SSK,20m,FT8,KM57,KM57,FN21,8466.072,5260.571,grid4,
20250321,0007,KI5HZK,20m,FT8,EM12jw,EM12,FN21,2186.330,1358.522,grid6+,
20250321,0008,F4LPS,20m,FT8,JN28,JN28,FN21,6046.441,3757.083,grid4,
20250321,0009,US2YW,20m,FT8,KN28,KN28,FN21,7315.417,4545.588,grid4,
20250321,0010,NI9D,20m,FT8,EM28mx,EM28,FN21,1731.832,1076.110,grid6+,
20250321,0011,DK7ZT,20m,FT8,JO40,JO40,FN21,6212.320,3860.156,grid4,
20250321,0016,LU7DLS,20m,FT8,GF05rm,GF05,FN21,8607.349,5348.357,grid6+,
20250321,0025,KC5KAW,20m,FT8,EL29,EL29,FN21,2239.805,1391.750,grid4,
20250321,0027,K4JAF,20m,FT8,EM74,EM74,FN21,1170.547,727.344,grid4,
20250321,0028,VE4ZIM,20m,FT8,EN29IQ03,EN29,FN21,1786.675,1110.188,grid6+,
20250321,0052,W3EWL,40m,FT8,FM19,FM19,FN21,279.363,173.588,grid4,
20250321,0055,KN4RAA,40m,FT8,FM04,FM04,FN21,853.372,530.260,grid4,
20250321,0101,F1PBZ,40m,FT8,JN26pv,JN26,FN21,6142.165,3816.563,grid6+,
20250321,0103,OE5TXF,40m,FT8,JN78,JN78,FN21,6699.079,4162.614,grid4,
20250321,2040,DG4FFF,20m,FT4,JO40,JO40,FN21,6212.320,3860.156,grid4,
20250321,2041,HA1BL,20m,FT4,JN87,JN87,FN21,6883.947,4277.485,grid4,
20250321,2050,G8KHF,20m,FT8,IO92,IO92,FN21,5488.073,3410.130,grid4,
20250321,2115,ER4KAA,20m,FT8,KN38,KN38,FN21,7433.710,4619.092,grid4,
20250404,2104,F1PBZ,20m,FT4,JN26pv,JN26,FN21,6142.165,3816.563,grid6+,
20250404,2205,N9JF,20m,FT4,EM49,EM49,FN21,1368.956,850.630,grid4,
20250404,2207,KX5N,20m,FT4,EM45ak,EM45,FN21,1540.689,957.339,grid6+,
20250407,1925,KC4KES,10m,FT8,EM10,EM10,FN21,2316.231,1439.239,grid4,
20250407,2002,CO8LY,15m,FT4,FL20,FL20,FN21,2335.093,1450.959,grid4,
20250407,2004,KE7NLT,15m,FT4,DN55,DN55,FN21,2757.029,1713.138,grid4,
20250407,2005,WS4A,15m,FT4,EL87,EL87,FN21,1718.746,1067.979,grid4,
20250407,2006,N0OTS,15m,FT4,EM27,EM27,FN21,1768.257,1098.744,grid4,
20250407,2041,EI8GP,20m,FT4,IO64,IO64,FN21,5046.277,3135.610,grid4,
20250407,2042,EA1ZT,20m,FT4,IN71ol,IN71,FN21,5657.847,3515.622,grid6+,
20250407,2044,W4MAA,20m,FT4,EM74xc,EM74,FN21,1170.547,727.344,grid6+,
20250407,2044,KY4HAM,20m,FT4,EM78,EM78,FN21,914.094,567.992,grid4,
20250407,2045,IZ0MIT,20m,FT4,JN61,JN61,FN21,6971.978,4332.185,grid4,
20250407,2048,9A4BL,20m,FT4,JN75,JN75,FN21,6871.389,4269.682,grid4,
20250407,2130,KP4ZZ,20m,FT4,FK68,FK68,FN21,2667.938,1657.779,grid4,
20250407,2212,KF9JF,20m,FT4,EL98,EL98,FN21,1544.338,959.607,grid4,
20250407,2213,W2GLH,20m,FT4,FM29,FM29,FN21,222.390,138.187,grid4,
20250407,2214,K4TFT,20m,FT4,EM70,EM70,FN21,1515.978,941.985,grid4,
20250407,2221,W3EWL,40m,FT8,FM19,FM19,FN21,279.363,173.588,grid4,
20250407,2223,EA7L,20m,FT4,IM86,IM86,FN21,6064.167,3768.097,grid4,
20250407,2225,CS8ABF,20m,FT4,HM77,HM77,FN21,4253.244,2642.842,grid4,
20250407,2227,AD0YO,20m,FT4,DM79,DM79,FN21,2533.566,1574.284,grid4,
20250411,1950,N7RI,15m,FT8,DN71,DN71,FN21,2485.696,1544.540,grid4,
20250411,1955,W4UTZ,20m,FT8,EM95,EM95,FN21,846.710,526.121,grid4,
20250413,0200,K2FZZ,20m,SSB,FN21pc,FN21,FN21,0.000,0.000,grid6+,
20250414,1715,KC3OL,15m,FT8,EM28,EM28,FN21,1731.832,1076.110,grid4,
20250414,1724,N4DWD,20m,FT8,EM86,EM86,FN21,886.465,550.823,grid4,
20250414,1732,ND8G,20m,FT8,EN51VS11,EN51,FN21,1164.644,723.676,grid6+,
20250414,1734,KO4BPM,20m,FT8,FM05,FM05,FN21,752.290,467.451,grid4,
20250414,1738,KA9FOX,20m,FT8,EN43,EN43,FN21,1328.266,825.346,grid4,
20250414,1740,W9BRT,20m,FT8,EM79,EM79,FN21,873.719,542.904,grid4,
20250414,1747,W8MRR,20m,FT8,EN62,EN62,FN21,996.971,619.489,grid4,
20250414,1750,WC9C,20m,FT8,EN52,EN52,FN21,1160.870,721.331,grid4,
20250414,1908,DO9BAU,15m,FT4,JO62,JO62,FN21,6361.142,3952.629,grid4,
20250414,1911,F8MRQ,15m,FT4,JN17CT44,JN17,FN21,5957.542,3701.844,grid6+,
20250414,1912,IK4LZH,15m,FT4,JN54,JN54,FN21,6659.183,4137.823,grid4,
20250414,1914,WS4A,15m,FT4,EL87,EL87,FN21,1718.746,1067.979,grid4,
20250414,1915,V31MA,15m,FT4,EK57,EK57,FN21,2983.666,1853.963,grid4,
20250414,1917,IK4LZH,17m,FT4,JN54,JN54,FN21,6659.183,4137.823,grid4,
20250414,1919,KY4F,20m,FT4,EL98,EL98,FN21,1544.338,959.607,grid4,
20250414,1935,S54E,20m,FT4,JN66,JN66,FN21,6681.697,4151.812,grid4,
20250414,1946,SP7AM,20m,FT4,KO00,KO00,FN21,6951.489,4319.454,grid4,
20250414,1948,N9AAA,20m,FT4,EN52,EN52,FN21,1160.870,721.331,grid4,
20250414,2150,M6JAY,20m,FT8,IO90,IO90,FN21,5561.256,3455.603,grid4,
20250414,2151,KD9SZQ,20m,FT8,EN54JT,EN54,FN21,1184.665,736.116,grid6+,
20250414,2018,W8TAM,20m,FT4,EN53,EN53,FN21,1167.603,725.515,grid4,
20250414,2128,K5CD,15m,FT8,EM10,EM10,FN21,2316.231,1439.239,grid4,
20250414,2132,W0OVX,15m,FT8,DN98,DN98,FN21,2174.422,1351.123,grid4,
